epoch,train_acc,train_loss,test_acc,test_loss
3950,53.125,0.584091,49.5441,0.660756
3960,53.125,0.509707,41.6413,0.664186
3970,46.875,0.639797,51.6717,0.654135
3980,68.75,0.511371,50.152,0.659109
3990,46.875,0.654246,48.6322,0.662934
4000,56.25,0.606058,50.152,0.663964
4010,43.75,0.64199,49.5441,0.665199
4020,50,0.587797,51.6717,0.654267
4030,68.75,0.496842,51.6717,0.659081
4040,31.25,0.687813,39.5137,0.704051
4050,46.875,0.58972,50.4559,0.66414
4060,56.25,0.628346,54.1033,0.660545
4070,43.75,0.566641,52.2796,0.655894
4080,68.75,0.535928,53.4954,0.659041
4090,56.25,0.568279,49.5441,0.65747
4100,56.25,0.544244,50.7599,0.655782
4110,56.25,0.562746,49.2401,0.662223
4120,62.5,0.531302,49.848,0.660285
4130,62.5,0.565831,52.8875,0.653728
4140,50,0.568918,50.4559,0.663516
4150,59.375,0.554076,48.9362,0.660948
4160,65.625,0.516306,53.1915,0.653796
4170,53.125,0.542636,52.2796,0.652367
4180,84.375,0.476943,53.1915,0.657575
4190,62.5,0.544095,52.2796,0.657693
4200,56.25,0.539282,52.5836,0.650366
4210,71.875,0.468298,50.7599,0.662424
4220,53.125,0.58816,51.6717,0.65232
4230,43.75,0.593729,40.4255,0.682103
4240,59.375,0.581313,52.8875,0.652045
4250,43.75,0.619761,48.6322,0.672554
4260,50,0.612409,51.0638,0.673967
4270,53.125,0.620682,52.8875,0.655616
4280,50,0.644806,51.6717,0.652369
4290,50,0.554541,52.8875,0.648076
4300,56.25,0.589514,52.2796,0.648938
4310,68.75,0.556931,51.9757,0.646829
4320,37.5,0.710834,52.5836,0.656163
4330,43.75,0.667503,51.9757,0.655606
4340,46.875,0.561143,52.5836,0.645732
4350,59.375,0.649522,52.2796,0.662122
4360,40.625,0.600703,49.2401,0.665082
4370,65.625,0.495976,51.6717,0.646263
4380,53.125,0.564481,51.6717,0.659137
4390,56.25,0.520341,51.0638,0.65402
4400,68.75,0.545605,52.2796,0.652246
4410,59.375,0.565184,51.9757,0.65109
4420,62.5,0.550148,51.9757,0.647161
4430,62.5,0.54695,52.2796,0.659687
4440,37.5,0.614633,40.7295,0.675217
4450,50,0.623775,51.3678,0.662785
4460,59.375,0.485297,52.2796,0.643719
